"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~9세","2025년_남_10~19세","2025년_남_20~29세","2025년_남_30~39세","2025년_남_40~49세","2025년_남_50~59세","2025년_남_60~69세","2025년_남_70~79세","2025년_남_80~89세","2025년_남_90~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~9세","2025년_여_10~19세","2025년_여_20~29세","2025년_여_30~39세","2025년_여_40~49세","2025년_여_50~59세","2025년_여_60~69세","2025년_여_70~79세","2025년_여_80~89세","2025년_여_90~99세","2025년_여_100세 이상"
"전국  (0000000000)","51,638,809","51,638,809","3,760,350","4,709,316","6,655,923","6,723,435","8,166,792","8,635,211","7,164,712","3,715,084","1,835,481","264,544","7,961","25,746,684","25,746,684","1,927,798","2,431,349","3,491,682","3,472,711","4,150,248","4,366,299","3,508,745","1,683,401","654,228","58,851","1,372","25,892,125","25,892,125","1,832,552","2,277,967","3,164,241","3,250,724","4,016,544","4,268,912","3,655,967","2,031,683","1,181,253","205,693","6,589","51,439,038","51,439,038","3,532,642","4,703,196","6,417,181","6,615,511","8,073,117","8,612,064","7,403,539","3,825,717","1,970,593","277,745","7,733","25,636,951","25,636,951","1,810,379","2,423,599","3,361,589","3,428,864","4,098,998","4,353,321","3,635,619","1,746,555","714,247","62,519","1,261","25,802,087","25,802,087","1,722,263","2,279,597","3,055,592","3,186,647","3,974,119","4,258,743","3,767,920","2,079,162","1,256,346","215,226","6,472","51,325,329","51,325,329","3,332,892","4,651,460","6,197,486","6,575,548","7,922,134","8,695,699","7,630,708","3,966,203","2,045,024","299,638","8,537","25,565,736","25,565,736","1,708,010","2,393,339","3,236,838","3,420,991","4,028,250","4,385,550","3,755,827","1,818,730","748,225","68,553","1,423","25,759,593","25,759,593","1,624,882","2,258,121","2,960,648","3,154,557","3,893,884","4,310,149","3,874,881","2,147,473","1,296,799","231,085","7,114","51,217,221","51,217,221","3,140,118","4,619,265","5,955,656","6,624,563","7,722,823","8,706,370","7,818,783","4,186,597","2,104,544","329,925","8,577","25,498,324","25,498,324","1,609,060","2,373,758","3,100,524","3,457,978","3,926,120","4,391,271","3,850,559","1,931,802","778,170","77,557","1,525","25,718,897","25,718,897","1,531,058","2,245,507","2,855,132","3,166,585","3,796,703","4,315,099","3,968,224","2,254,795","1,326,374","252,368","7,052","51,117,378","51,117,378","2,959,223","4,628,343","5,682,242","6,676,457","7,582,212","8,634,072","7,922,278","4,524,274","2,134,505","365,046","8,726","25,436,665","25,436,665","1,516,670","2,375,843","2,950,528","3,492,809","3,859,751","4,354,771","3,907,041","2,089,386","800,013","88,412","1,441","25,680,713","25,680,713","1,442,553","2,252,500","2,731,714","3,183,648","3,722,461","4,279,301","4,015,237","2,434,888","1,334,492","276,634","7,285"
"서울특별시  (1100000000)","9,509,458","9,509,458","583,683","756,136","1,422,277","1,439,279","1,480,780","1,507,194","1,285,922","695,800","295,009","41,735","1,643","4,618,040","4,618,040","299,764","387,691","684,530","718,763","733,371","742,757","607,114","316,508","116,524","10,637","381","4,891,418","4,891,418","283,919","368,445","737,747","720,516","747,409","764,437","678,808","379,292","178,485","31,098","1,262","9,428,372","9,428,372","545,317","749,118","1,389,483","1,425,808","1,449,706","1,492,802","1,297,787","713,496","321,209","42,354","1,292","4,570,048","4,570,048","280,017","383,649","664,239","712,675","717,027","735,183","613,444","323,606","128,937","10,997","274","4,858,324","4,858,324","265,300","365,469","725,244","713,133","732,679","757,619","684,343","389,890","192,272","31,357","1,018","9,386,034","9,386,034","513,562","733,211","1,355,811","1,427,405","1,420,073","1,495,557","1,315,938","738,469","339,214","45,346","1,448","4,540,031","4,540,031","263,448","375,346","643,229","713,915","703,001","734,760","622,855","334,075","137,024","12,059","319","4,846,003","4,846,003","250,114","357,865","712,582","713,490","717,072","760,797","693,083","404,394","202,190","33,287","1,129","9,331,828","9,331,828","483,780","720,767","1,308,260","1,442,665","1,383,950","1,486,068","1,326,239","773,771","355,250","49,594","1,484","4,505,355","4,505,355","248,113","368,724","615,810","722,187","683,706","730,924","627,775","349,792","144,375","13,615","334","4,826,473","4,826,473","235,667","352,043","692,450","720,478","700,244","755,144","698,464","423,979","210,875","35,979","1,150","9,299,548","9,299,548","460,662","717,871","1,254,885","1,462,944","1,364,640","1,467,714","1,318,843","827,265","367,911","55,400","1,413","4,481,099","4,481,099","236,468","366,669","586,727","731,350","674,176","721,924","625,168","372,456","150,059","15,811","291","4,818,449","4,818,449","224,194","351,202","668,158","731,594","690,464","745,790","693,675","454,809","217,852","39,589","1,122"
"부산광역시  (2600000000)","3,350,380","3,350,380","219,611","266,105","415,549","405,300","502,391","554,768","548,878","298,128","123,791","15,457","402","1,639,044","1,639,044","112,744","137,079","215,370","207,947","253,509","270,303","258,914","134,692","45,094","3,330","62","1,711,336","1,711,336","106,867","129,026","200,179","197,353","248,882","284,465","289,964","163,436","78,697","12,127","340","3,317,812","3,317,812","206,377","265,934","395,398","396,427","494,742","543,722","555,859","308,718","134,148","16,081","406","1,619,915","1,619,915","105,853","136,736","204,011","203,555","249,657","265,463","261,894","139,436","49,735","3,502","73","1,697,897","1,697,897","100,524","129,198","191,387","192,872","245,085","278,259","293,965","169,282","84,413","12,579","333","3,293,362","3,293,362","194,403","263,339","377,587","390,659","484,716","541,925","560,720","320,407","141,906","17,268","432","1,605,431","1,605,431","99,689","135,082","193,992","201,309","244,820","264,670","264,259","144,256","53,412","3,880","62","1,687,931","1,687,931","94,714","128,257","183,595","189,350","239,896","277,255","296,461","176,151","88,494","13,388","370","3,266,598","3,266,598","181,736","262,852","358,388","388,958","471,171","537,485","561,092","336,847","148,646","18,994","429","1,589,912","1,589,912","93,020","134,897","183,238","200,831","238,130","263,117","263,229","152,317","56,639","4,433","61","1,676,686","1,676,686","88,716","127,955","175,150","188,127","233,041","274,368","297,863","184,530","92,007","14,561","368","3,241,600","3,241,600","169,897","264,817","338,697","388,297","460,252","529,003","552,882","364,498","151,877","20,950","430","1,575,600","1,575,600","87,006","135,700","172,547","200,787","232,982","259,853","259,380","163,659","58,598","5,038","50","1,666,000","1,666,000","82,891","129,117","166,150","187,510","227,270","269,150","293,502","200,839","93,279","15,912","380"
"대구광역시  (2700000000)","2,385,412","2,385,412","167,823","218,537","308,921","284,865","372,555","419,444","342,291","177,828","82,781","10,122","245","1,175,632","1,175,632","85,980","113,890","164,484","149,452","183,962","205,369","162,849","78,079","29,339","2,197","31","1,209,780","1,209,780","81,843","104,647","144,437","135,413","188,593","214,075","179,442","99,749","53,442","7,925","214","2,363,691","2,363,691","157,730","217,532","294,363","279,457","363,802","415,142","351,340","184,159","89,098","10,830","238","1,162,865","1,162,865","80,742","112,716","156,048","147,977","179,475","203,024","167,435","80,832","32,152","2,439","25","1,200,826","1,200,826","76,988","104,816","138,315","131,480","184,327","212,118","183,905","103,327","56,946","8,391","213","2,374,960","2,374,960","150,403","214,121","282,470","279,965","356,114","420,799","365,980","195,523","96,888","12,432","265","1,166,803","1,166,803","77,161","110,515","148,961","149,088","176,398","205,400","175,097","86,180","35,074","2,897","32","1,208,157","1,208,157","73,242","103,606","133,509","130,877","179,716","215,399","190,883","109,343","61,814","9,535","233","2,363,629","2,363,629","142,228","212,438","268,100","282,632","344,645","418,181","375,530","205,143","100,506","13,966","260","1,159,601","1,159,601","73,047","109,308","140,840","150,942","171,028","204,079","179,299","91,060","36,601","3,360","37","1,204,028","1,204,028","69,181","103,130","127,260","131,690","173,617","214,102","196,231","114,083","63,905","10,606","223","2,353,032","2,353,032","134,314","212,906","253,449","285,101","335,855","412,159","379,877","222,194","101,260","15,626","291","1,152,579","1,152,579","68,981","109,233","132,766","152,119","167,482","201,119","181,414","98,420","37,123","3,875","47","1,200,453","1,200,453","65,333","103,673","120,683","132,982","168,373","211,040","198,463","123,774","64,137","11,751","244"
"인천광역시  (2800000000)","2,948,375","2,948,375","217,384","271,131","391,051","402,091","481,066","510,969","399,128","179,244","82,853","13,041","417","1,476,373","1,476,373","111,554","139,390","203,834","208,279","246,522","255,130","197,657","82,211","28,963","2,749","84","1,472,002","1,472,002","105,830","131,741","187,217","193,812","234,544","255,839","201,471","97,033","53,890","10,292","333","2,967,314","2,967,314","208,942","272,740","376,526","405,262","481,848","509,651","420,463","188,099","89,656","13,704","423","1,485,175","1,485,175","107,055","140,015","196,168","210,534","247,077","254,486","207,816","87,126","31,935","2,887","76","1,482,139","1,482,139","101,887","132,725","180,358","194,728","234,771","255,165","212,647","100,973","57,721","10,817","347","2,997,410","2,997,410","202,329","272,079","364,103","413,085","480,780","516,033","441,411","197,825","94,397","14,877","491","1,499,016","1,499,016","103,733","139,614","188,915","215,282","247,250","256,886","218,084","91,836","34,124","3,192","100","1,498,394","1,498,394","98,596","132,465","175,188","197,803","233,530","259,147","223,327","105,989","60,273","11,685","391","3,021,010","3,021,010","195,196","272,576","351,396","422,100","475,593","516,583","459,894","212,520","98,352","16,294","506","1,509,243","1,509,243","100,015","139,719","181,524","220,432","244,630","257,522","226,844","98,879","35,995","3,588","95","1,511,767","1,511,767","95,181","132,857","169,872","201,668","230,963","259,061","233,050","113,641","62,357","12,706","411","3,051,961","3,051,961","189,273","275,968","338,166","431,527","474,182","515,390","473,360","234,027","101,412","18,107","549","1,524,286","1,524,286","97,096","141,340","174,448","225,438","244,553","257,413","233,250","108,874","37,672","4,111","91","1,527,675","1,527,675","92,177","134,628","163,718","206,089","229,629","257,977","240,110","125,153","63,740","13,996","458"
"광주광역시  (2900000000)","1,441,611","1,441,611","114,065","152,404","206,472","181,189","236,167","235,764","172,124","94,547","42,636","6,066","177","713,015","713,015","58,516","78,857","107,781","92,783","117,383","116,983","82,025","42,016","15,333","1,316","22","728,596","728,596","55,549","73,547","98,691","88,406","118,784","118,781","90,099","52,531","27,303","4,750","155","1,431,050","1,431,050","106,977","150,857","198,619","177,417","232,740","237,879","177,332","96,069","46,682","6,305","173","707,299","707,299","54,782","78,136","103,581","91,171","115,729","117,966","84,600","42,673","17,255","1,390","16","723,751","723,751","52,195","72,721","95,038","86,246","117,011","119,913","92,732","53,396","29,427","4,915","157","1,419,237","1,419,237","99,779","147,525","190,905","174,075","227,259","240,674","184,732","99,128","48,185","6,768","207","700,896","700,896","51,028","76,188","99,724","89,847","113,235","119,067","88,343","43,912","18,019","1,516","17","718,341","718,341","48,751","71,337","91,181","84,228","114,024","121,607","96,389","55,216","30,166","5,252","190","1,408,422","1,408,422","92,837","145,418","182,033","173,762","219,511","243,154","190,637","103,523","49,754","7,612","181","695,224","695,224","47,389","74,961","94,953","90,216","109,527","120,323","91,317","45,932","18,791","1,790","25","713,198","713,198","45,448","70,457","87,080","83,546","109,984","122,831","99,320","57,591","30,963","5,822","156","1,392,013","1,392,013","86,156","144,022","170,562","173,650","212,971","240,691","194,014","110,125","51,329","8,307","186","686,799","686,799","43,890","74,228","89,079","90,372","106,320","119,380","92,954","48,946","19,595","2,015","20","705,214","705,214","42,266","69,794","81,483","83,278","106,651","121,311","101,060","61,179","31,734","6,292","166"
"대전광역시  (3000000000)","1,452,251","1,452,251","107,548","142,175","209,397","189,669","231,018","240,017","190,514","92,390","43,199","6,155","169","724,626","724,626","55,295","73,527","109,664","99,378","115,072","119,967","92,406","42,139","15,747","1,405","26","727,625","727,625","52,253","68,648","99,733","90,291","115,946","120,050","98,108","50,251","27,452","4,750","143","1,446,072","1,446,072","102,233","140,288","203,887","187,991","226,654","239,260","197,255","95,129","46,641","6,553","181","721,245","721,245","52,537","72,535","106,826","98,898","112,804","119,574","95,583","43,612","17,301","1,549","26","724,827","724,827","49,696","67,753","97,061","89,093","113,850","119,686","101,672","51,517","29,340","5,004","155","1,442,216","1,442,216","96,727","137,836","199,228","187,965","220,131","243,258","202,026","99,140","48,573","7,121","211","719,292","719,292","49,790","71,227","104,190","99,375","109,916","121,334","97,866","45,677","18,132","1,753","32","722,924","722,924","46,937","66,609","95,038","88,590","110,215","121,924","104,160","53,463","30,441","5,368","179","1,439,157","1,439,157","91,513","135,613","193,470","190,937","213,110","243,783","206,460","105,925","50,301","7,830","215","717,291","717,291","47,115","69,855","100,960","101,412","106,520","121,533","100,122","48,772","19,013","1,952","37","721,866","721,866","44,398","65,758","92,510","89,525","106,590","122,250","106,338","57,153","31,288","5,878","178","1,440,729","1,440,729","86,776","135,747","187,702","194,991","209,116","242,187","208,677","115,183","51,386","8,752","212","717,936","717,936","44,656","69,801","97,821","103,877","104,813","120,878","101,231","52,976","19,645","2,202","36","722,793","722,793","42,120","65,946","89,881","91,114","104,303","121,309","107,446","62,207","31,741","6,550","176"
"울산광역시  (3100000000)","1,121,592","1,121,592","92,018","109,990","137,422","144,891","183,954","207,056","155,775","63,024","24,119","3,276","67","576,217","576,217","47,302","57,743","77,588","77,145","94,084","105,062","78,393","30,110","8,218","568","4","545,375","545,375","44,716","52,247","59,834","67,746","89,870","101,994","77,382","32,914","15,901","2,708","63","1,110,663","1,110,663","85,061","110,202","129,209","139,635","181,630","204,688","163,353","66,916","26,466","3,442","61","570,368","570,368","43,704","57,741","73,073","74,933","93,100","103,354","82,306","32,178","9,347","629","3","540,295","540,295","41,357","52,461","56,136","64,702","88,530","101,334","81,047","34,738","17,119","2,813","58","1,103,661","1,103,661","79,086","109,462","122,522","136,909","178,114","204,814","169,307","71,586","28,057","3,725","79","567,153","567,153","40,621","57,056","69,651","74,334","91,773","102,900","85,401","34,534","10,146","728","9","536,508","536,508","38,465","52,406","52,871","62,575","86,341","101,914","83,906","37,052","17,911","2,997","70","1,098,049","1,098,049","73,097","109,370","117,157","136,293","173,188","202,978","175,205","77,310","29,297","4,068","86","564,888","564,888","37,487","56,820","67,244","74,655","89,470","101,711","88,369","37,511","10,771","840","10","533,161","533,161","35,610","52,550","49,913","61,638","83,718","101,267","86,836","39,799","18,526","3,228","76","1,091,948","1,091,948","67,470","109,694","110,774","136,897","169,091","198,246","179,413","85,901","29,927","4,435","100","562,926","562,926","34,551","56,871","64,194","75,730","87,850","99,274","90,774","41,429","11,296","946","11","529,022","529,022","32,919","52,823","46,580","61,167","81,241","98,972","88,639","44,472","18,631","3,489","89"
"세종특별자치시  (3600000000)","371,895","371,895","47,063","45,794","38,510","61,719","72,764","48,876","33,522","14,775","7,557","1,288","27","185,678","185,678","23,984","23,081","19,728","30,131","36,831","25,581","16,596","6,870","2,606","263","7","186,217","186,217","23,079","22,713","18,782","31,588","35,933","23,295","16,926","7,905","4,951","1,025","20","383,591","383,591","45,951","49,002","38,379","61,083","76,504","51,667","35,788","15,705","8,079","1,398","35","191,389","191,389","23,379","24,647","19,705","29,949","38,230","27,126","17,797","7,394","2,883","272","7","192,202","192,202","22,572","24,355","18,674","31,134","38,274","24,541","17,991","8,311","5,196","1,126","28","386,525","386,525","43,541","50,736","37,810","59,340","77,183","54,433","37,233","16,478","8,234","1,494","43","192,524","192,524","22,122","25,585","19,199","29,268","38,244","28,501","18,533","7,793","2,972","302","5","194,001","194,001","21,419","25,151","18,611","30,072","38,939","25,932","18,700","8,685","5,262","1,192","38","390,685","390,685","41,351","52,539","37,080","58,822","77,093","57,130","38,784","17,782","8,412","1,653","39","194,413","194,413","21,001","26,570","18,879","29,024","37,875","29,798","19,327","8,506","3,076","353","4","196,272","196,272","20,350","25,969","18,201","29,798","39,218","27,332","19,457","9,276","5,336","1,300","35","391,965","391,965","38,680","54,143","36,463","57,808","76,443","59,127","39,512","19,635","8,321","1,796","37","195,107","195,107","19,653","27,415","18,625","28,609","37,469","30,746","19,650","9,407","3,127","401","5","196,858","196,858","19,027","26,728","17,838","29,199","38,974","28,381","19,862","10,228","5,194","1,395","32"
"경기도  (4100000000)","13,565,450","13,565,450","1,099,927","1,321,005","1,798,269","1,900,447","2,296,173","2,274,844","1,669,601","773,573","374,488","55,363","1,760","6,827,298","6,827,298","562,739","678,063","947,823","983,619","1,168,232","1,152,627","830,282","352,810","137,676","13,079","348","6,738,152","6,738,152","537,188","642,942","850,446","916,828","1,127,941","1,122,217","839,319","420,763","236,812","42,284","1,412","13,589,432","13,589,432","1,040,954","1,327,726","1,737,291","1,882,300","2,284,603","2,293,422","1,750,962","808,663","403,721","58,065","1,725","6,839,276","6,839,276","532,630","680,443","916,141","978,227","1,162,714","1,159,994","872,468","371,412","151,010","13,881","356","6,750,156","6,750,156","508,324","647,283","821,150","904,073","1,121,889","1,133,428","878,494","437,251","252,711","44,184","1,369","13,630,821","13,630,821","989,550","1,320,631","1,682,138","1,878,734","2,256,931","2,335,999","1,831,793","847,103","423,029","63,061","1,852","6,855,895","6,855,895","506,358","675,747","885,110","979,572","1,150,795","1,177,701","914,132","391,368","159,419","15,304","389","6,774,926","6,774,926","483,192","644,884","797,028","899,162","1,106,136","1,158,298","917,661","455,735","263,610","47,757","1,463","13,694,685","13,694,685","939,988","1,318,307","1,627,548","1,907,383","2,214,874","2,357,607","1,911,010","905,114","440,674","70,233","1,947","6,882,186","6,882,186","481,144","674,010","853,005","997,554","1,130,022","1,186,937","953,479","420,816","167,243","17,543","433","6,812,499","6,812,499","458,844","644,297","774,543","909,829","1,084,852","1,170,670","957,531","484,298","273,431","52,690","1,514","13,730,135","13,730,135","889,965","1,326,501","1,557,604","1,925,447","2,183,467","2,355,969","1,967,747","988,210","454,565","78,621","2,039","6,894,990","6,894,990","455,697","677,684","814,670","1,009,527","1,114,825","1,185,041","981,635","460,660","174,731","20,114","406","6,835,145","6,835,145","434,268","648,817","742,934","915,920","1,068,642","1,170,928","986,112","527,550","279,834","58,507","1,633"
