"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202605","2호선","강남","146","12","8318","11264","18958","50761","41095","146208","61338","299290","55593","313737","60727","155222","78919","106817","95069","108797","111482","123006","123087","110723","146787","106436","170685","115830","248147","142723","304198","168111","208495","102095","168149","68100","177030","58362","154493","45884","69519","25479","10617","6207","1","24","0","0","0","0","20260603"
"202605","2호선","강변(동서울터미널)","17","0","8384","2052","21949","23524","61975","25379","96298","41331","77339","37162","66173","35198","58870","34205","52704","38676","49377","44058","45871","47880","48760","57541","52296","61847","57760","75431","60118","90744","42874","63172","35203","47242","28660","38441","19200","32774","6995","17493","742","4085","1","25","0","0","0","0","20260603"
"202605","2호선","건대입구","379","15","15780","1871","23349","15620","55289","25113","88154","61372","66430","52707","48087","54685","46536","58965","55443","66818","60861","71700","64267","71662","70956","77815","79061","88908","90270","116954","97334","152039","76921","108834","81397","76689","86020","72452","83563","63665","50256","39209","7577","12186","18","989","0","0","0","0","20260603"
"202605","2호선","교대(법원.검찰청)","27","0","2799","6401","11270","28969","25365","54712","33744","147204","30389","121290","28280","66368","33702","58153","35783","54475","43668","58686","51272","51274","54504","48754","58178","50304","89409","64165","123035","66357","58070","40016","51332","28627","50640","25828","35918","23668","14738","12774","2586","3530","0","12","0","0","0","0","20260603"
"202605","2호선","구로디지털단지","411","13","38529","5553","53889","20899","132789","78431","179188","198974","117848","122781","79215","58614","71587","47889","79286","54439","75739","67100","67986","63907","75507","72038","87532","85963","132120","114338","179874","156772","93777","122372","60086","90690","48093","91770","37388","86615","17781","51630","3056","14188","6","271","0","0","0","0","20260603"
"202605","2호선","구의(광진구청)","84","5","14240","1439","29224","12587","75807","21025","119463","46169","78271","29587","49242","26542","42568","30098","43409","32909","44403","36209","42310","38503","42149","47530","47336","54324","47357","74486","54380","107065","32843","77518","26731","56155","25139","52361","20300","48417","9377","27041","1483","7255","2","116","0","0","0","0","20260603"
"202605","2호선","낙성대(강감찬)","77","6","12834","2442","28147","10796","79795","21732","117994","42051","81425","36961","50154","32134","43877","28366","48580","32285","47157","34468","43039","35992","43170","41895","46440","50195","49877","65104","53250","99491","32008","81438","27375","58550","23933","58868","16781","56581","8848","35510","1463","8736","0","186","0","0","0","0","20260603"
"202605","2호선","당산","49","7","8761","3217","19185","13516","48182","27421","57424","70288","39180","32338","30497","19597","29120","19342","30018","23033","28884","26646","26093","27494","26871","32197","31669","39471","44767","55154","54907","74937","29121","51149","25020","37232","23841","36783","19559","32834","9984","22036","1507","4932","2","103","0","0","0","0","20260603"
"202605","2호선","대림(구로구청)","766","38","33958","3228","30991","11351","66667","23265","96126","51131","67640","35902","45625","36063","39174","38005","40717","37225","40075","36652","37371","37179","39157","45788","40623","53386","44879","65892","48022","69431","27582","51729","21184","43808","15407","54156","11656","49011","6076","24899","789","5735","5","172","0","0","0","0","20260603"
"202605","2호선","도림천","0","0","448","251","1414","1135","3598","5701","3404","5495","2499","2204","3325","1605","2637","1501","2113","1535","1825","2177","2370","2031","2592","1915","3444","2073","3275","2535","3338","3426","1414","2593","1014","1958","880","1718","514","1322","205","896","49","310","1","5","0","0","0","0","20260603"
"202605","2호선","동대문역사문화공원(DDP)","241","24","4407","1253","3992","9801","7585","21215","14063","43954","18242","32626","20933","35153","23138","37188","26662","38442","29663","41046","34268","41013","41767","39190","47591","37890","53525","38769","50620","41952","36422","35772","30774","29369","26956","24909","21964","20555","11429","12332","2154","3546","1","106","0","0","0","0","20260603"
"202605","2호선","뚝섬","36","1","3810","2238","9520","15484","19566","40669","27015","131265","20012","96327","19200","58363","24782","54757","30330","52918","37355","51716","44931","47816","56470","46719","65763","44409","94411","47659","133389","50425","79545","31219","59703","19876","46951","16554","28509","14293","10613","8744","1426","2777","2","85","0","0","0","0","20260603"
"202605","2호선","문래","16","0","4302","2995","14761","12068","40794","38084","48891","119152","29450","57372","23230","26842","22671","25697","28336","30001","28353","31391","29329","30454","32347","32591","37449","38372","63252","46815","98255","64588","39440","42475","30823","25547","32971","22397","29485","18903","14473","11447","2233","3538","1","80","0","0","1","0","20260603"
"202605","2호선","방배","4","0","3043","3671","9961","13747","21983","27677","30327","69543","25117","60507","20468","36028","22614","29420","26356","29582","28804","26790","33074","26112","36202","25282","43339","26697","53512","33558","58543","36088","29695","25027","24021","17780","23925","17368","19731","16299","7469","9500","1524","2624","1","4","0","0","0","0","20260603"
"202605","2호선","봉천","80","1","15134","1538","29844","7190","80985","13083","112916","25770","76898","22355","47029","21249","39975","23772","41729","26433","40474","28779","34779","32964","33142","40233","34468","47649","33803","59885","33368","89572","21898","70326","18578","48659","15407","46531","11277","42443","5146","25185","783","7974","1","163","0","0","0","0","20260603"
"202605","2호선","사당","127","3","13229","4215","31428","38406","77924","51925","99180","75645","81277","59032","57937","52483","55775","63376","62720","65057","66300","61837","70630","62727","71453","73903","74208","97038","89027","135441","103832","176256","76043","115646","73532","81286","78694","78013","69312","70898","38355","42774","6021","11847","4","851","0","0","0","0","20260603"
"202605","2호선","삼성(무역센터)","100","0","4586","6049","7195","50080","13962","133298","19450","280832","20877","230275","26763","115135","40369","86956","54018","81875","69881","85936","86879","72029","108853","62405","145548","61660","226799","62594","262603","58334","141773","32898","117816","19960","96719","16462","64797","12036","16259","6727","2200","4738","3","1124","0","0","0","0","20260603"
"202605","2호선","상왕십리","17","2","5807","953","15104","6681","40873","11447","61178","28031","38043","18748","26286","14588","23219","14498","24887","15784","23421","18008","21650","20280","22325","23717","24095","29102","26043","38697","26804","53225","18997","37034","13214","26642","11198","25179","7575","23010","3219","14163","459","4136","0","14","0","0","0","0","20260603"
"202605","2호선","서울대입구(관악구청)","4100","35","27883","2895","45668","15118","119921","29794","164414","75009","121475","71378","77525","59056","69135","51915","78134","56497","79069","60380","71989","61162","76466","69949","81159","81886","90237","110060","96663","163406","59535","129360","51593","89931","50295","89725","42992","88013","23150","52551","4187","20476","0","2994","0","0","0","0","20260603"
"202605","2호선","서초","4","0","1836","5453","9380","25930","19063","53476","27653","107350","29402","83164","23089","43702","33191","36059","30694","27554","37419","28592","38588","28621","45879","22746","52443","24836","72338","26587","86504","28296","40559","19999","30256","13283","30426","12115","19675","11328","6103","6337","927","1377","0","0","0","0","0","0","20260603"
"202605","2호선","선릉","175","8","4852","5903","12003","45131","23298","118444","36288","254821","37483","193629","41896","97965","51698","65382","62874","62144","69316","71025","78295","56311","99739","53567","122999","52801","196607","58912","260765","57788","135060","38011","93430","26746","83804","24487","69742","20893","23512","12682","3828","4743","1","57","0","0","0","0","20260603"
