"행정구역","2026년05월_총인구수","2026년05월_세대수","2026년05월_세대당 인구","2026년05월_남자 인구수","2026년05월_여자 인구수","2026년05월_남여 비율"
"부산광역시  (2600000000)","3,234,293","1,581,640","          2.04","1,571,268","1,663,025","          0.94"
"부산광역시 중구 (2611000000)","36,375","23,365","          1.56","17,595","18,780","          0.94"
"부산광역시 서구 (2614000000)","101,320","53,405","          1.90","48,484","52,836","          0.92"
"부산광역시 동구 (2617000000)","83,432","46,360","          1.80","40,520","42,912","          0.94"
"부산광역시 영도구 (2620000000)","100,748","53,249","          1.89","49,408","51,340","          0.96"
"부산광역시 부산진구 (2623000000)","365,104","189,752","          1.92","174,343","190,761","          0.91"
"부산광역시 동래구 (2626000000)","271,437","122,574","          2.21","130,514","140,923","          0.93"
"부산광역시 남구 (2629000000)","254,174","121,548","          2.09","123,327","130,847","          0.94"
"부산광역시 북구 (2632000000)","260,994","122,144","          2.14","127,832","133,162","          0.96"
"부산광역시 해운대구 (2635000000)","370,920","170,084","          2.18","177,441","193,479","          0.92"
"부산광역시 사하구 (2638000000)","282,633","139,237","          2.03","140,004","142,629","          0.98"
"부산광역시 금정구 (2641000000)","205,968","105,378","          1.95","99,991","105,977","          0.94"
"부산광역시 강서구 (2644000000)","153,175","66,512","          2.30","79,213","73,962","          1.07"
"부산광역시 연제구 (2647000000)","211,509","100,831","          2.10","100,644","110,865","          0.91"
"부산광역시 수영구 (2650000000)","168,513","87,806","          1.92","78,906","89,607","          0.88"
"부산광역시 사상구 (2653000000)","192,718","98,689","          1.95","96,154","96,564","          1.00"
"부산광역시 기장군 (2671000000)","175,273","80,706","          2.17","86,892","88,381","          0.98"
