매장명,주소,이벤트,위도,경도,매장ID
가락시장역점,서울특별시 서울 송파구 송파대로 28길 27 102동 109호,텐데이 진행,37.4948868947464,127.120093192726,663
가산대성디폴리스점,서울특별시 금천구 서부샛길 606 대성디폴리스,텐데이 진행,37.4799534974765,126.877008239669,425
가산디지털단지역점,서울특별시 금천구 벚꽃로 298 1층 112호,텐데이 진행,37.4814401689835,126.883871693415,836
가산아스크타워점,서울특별시 금천구 가산동 60-9 145호,텐데이 진행,37.476704282032,126.889793917736,819
가산한화비즈2차점,"서울특별시 금천구 가산디지털2로 43-14, 가산한화비즈메트로2차 134호",텐데이 진행,37.4724347051782,126.881544629092,620
강남국기원점,서울특별시 강남구 강남대로94길 55 1층,텐데이 진행,37.5005339869309,127.031660682357,1086
강남서초점,"서울특별시 서초구 서초대로74길 23, 서초타운트라팰리스 1F",텐데이 진행,37.4956119342423,127.027090955824,594
강남역센트럴애비뉴점,서울특별시 강남구 테헤란로4길 6 126호,텐데이 진행,37.4976674173806,127.029286360295,839
강남지인병원점,서울특별시 강남구 언주로 631 강남지인병원 2층 201호,텐데이 진행,37.5127908498374,127.035028360898,406
강남포스코센터점,서울특별시  강남구 삼성로 85길 30,텐데이 진행,37.5047859325292,127.054781958332,756
강북구청점,서울특별시 강북구 한천로 1040,텐데이 미진행,37.6403462635848,127.026687837786,1184
개봉현대점,서울특별시 구로구 개봉로 20길 158,텐데이 진행,37.4920422788882,126.86073736772,724
경희대점,서울특별시 동대문구 경희대로 15,텐데이 미진행,37.5929303558378,127.052387487722,1179
고덕역점,"서울특별시 강동구 고덕로 262, 118호",텐데이 진행,37.5546676606413,127.154622234195,947
고척근린공원점,서울특별시 구로구 고척동 260-18,텐데이 진행,37.503358642999,126.850777372257,970
공덕점,서울특별시 마포구 백범로31길 7 공덕SK리더스뷰 1동 B110호,텐데이 진행,37.5452627685789,126.94870244291,302
구로아티스포럼점,서울특별시  구로구 구로동 197-45,텐데이 진행,37.4861933789197,126.892769970304,736
구로하이엔드2차점,서울특별시 구로구 디지털로26길 61,텐데이 진행,37.4811291019439,126.895303784633,1088
군자교점,서울특별시 광진구 천호대로 512 군자빌딩,텐데이 진행,37.5584318575875,127.075308664069,938
길동사거리점,서울특별시 서울특별시 강동구 양재대로103길 13,텐데이 진행,37.5328424801054,127.13713383195,989
길음역점,"서울특별시 성북구 길음로 11 지하1층 B53, 54",텐데이 진행,37.603785604914,127.023437392228,1116
길음역점,"서울특별시  성북구 길음로 11 지하1층 B53, 54",텐데이 진행,37.603785604914,127.023437392228,1156
